Date,Type,Description,Amount,Category,Payment Method,Status,Reference,Receipt URL
2024-03-10,debit,Streaming Service,-12.99,Entertainment,credit_card,completed,TXN058,
2024-03-11,debit,Grocery Store,-134.56,Food & Dining,debit_card,completed,TXN059,
2024-03-12,debit,Pet Store,-78.45,Pets,debit_card,completed,TXN060,
2024-03-13,debit,Coffee Shop,-8.25,Food & Dining,cash,completed,TXN061,
2024-03-14,debit,Restaurant,-85.75,Food & Dining,credit_card,completed,TXN062,
2024-03-15,credit,Salary Deposit,3500.00,Income,direct_deposit,completed,TXN063,
2024-03-16,debit,Unusual ATM Withdrawal,-2500.00,Cash Withdrawal,atm,completed,TXN064,
2024-03-17,debit,Gas Station,-47.89,Transportation,credit_card,completed,TXN065,
2024-03-18,debit,Office Supplies,-45.67,Business,credit_card,completed,TXN066,
2024-03-19,debit,Lunch,-22.50,Food & Dining,credit_card,completed,TXN067,
2024-03-20,debit,Health Insurance,-345.00,Insurance,bank_transfer,completed,TXN068,
2024-03-21,debit,Weekend Shopping,-198.75,Shopping,credit_card,completed,TXN069,
2024-03-22,debit,Coffee Shop,-6.99,Food & Dining,cash,completed,TXN070,
2024-03-23,debit,Parking Ticket,-75.00,Fines,bank_transfer,completed,TXN071,
2024-03-24,debit,Grocery Store,-112.34,Food & Dining,debit_card,completed,TXN072,
2024-03-25,debit,Gas Station,-53.45,Transportation,credit_card,completed,TXN073,
2024-03-26,debit,Concert Tickets,-150.00,Entertainment,credit_card,completed,TXN074,
2024-03-27,debit,Dinner Date,-68.90,Food & Dining,credit_card,completed,TXN075,
2024-03-28,debit,Car Maintenance,-287.50,Transportation,debit_card,completed,TXN076,
2024-03-29,debit,Coffee Shop,-7.75,Food & Dining,cash,completed,TXN077,
2024-03-30,credit,Side Hustle Income,650.00,Income,bank_transfer,completed,TXN078,
2024-03-31,debit,Monthly Savings Transfer,-500.00,Savings,bank_transfer,completed,TXN079,
2024-04-01,debit,Rent Payment,-1850.00,Housing,bank_transfer,completed,TXN080,
2024-04-02,debit,Electric Bill,-95.67,Utilities,bank_transfer,completed,TXN081,
2024-04-03,debit,Grocery Store,-89.45,Food & Dining,debit_card,completed,TXN082,
2024-04-04,debit,Gas Station,-46.78,Transportation,credit_card,completed,TXN083,
2024-04-05,debit,Subscription Box,-29.99,Shopping,credit_card,completed,TXN084,
2024-04-06,debit,Lunch,-18.75,Food & Dining,credit_card,completed,TXN085,
2024-04-07,debit,Pharmacy,-42.50,Healthcare,debit_card,completed,TXN086,
2024-04-08,debit,Coffee Shop,-8.50,Food & Dining,cash,completed,TXN087,
2024-04-09,debit,Online Shopping,-156.78,Shopping,credit_card,completed,TXN088,
2024-04-10,debit,Gas Station,-52.34,Transportation,credit_card,completed,TXN089,
2024-04-11,credit,Cashback Reward,35.50,Income,credit_card,completed,TXN090,
2024-04-12,debit,Restaurant,-74.25,Food & Dining,credit_card,completed,TXN091,
2024-04-13,debit,Home Depot,-123.45,Home Improvement,debit_card,completed,TXN092,
2024-04-14,debit,Coffee Shop,-6.25,Food & Dining,cash,completed,TXN093,
2024-04-15,credit,Salary Deposit,3500.00,Income,direct_deposit,completed,TXN094,
2024-04-16,debit,Grocery Store,-98.67,Food & Dining,debit_card,completed,TXN095,
2024-04-17,debit,Gas Station,-48.90,Transportation,credit_card,completed,TXN096,
2024-04-18,debit,Dentist Appointment,-200.00,Healthcare,debit_card,completed,TXN097,
2024-04-19,debit,Lunch,-21.50,Food & Dining,credit_card,completed,TXN098,
2024-04-20,debit,Emergency Expense,-850.00,Emergency,credit_card,completed,TXN099,
2024-04-21,debit,Coffee Shop,-7.99,Food & Dining,cash,completed,TXN100,
